Condition,SAR→SIAR <= 4mo,SAR→TED-AI <= 3mo,SAR→ASI <= 5mo,SAR→SIAR <= 1yr,SAR→TED-AI <= 1yr,SAR→ASI <= 1yr
Unconditional,32.6%,26.1%,25.9%,49.6%,44.2%,35.2%
SAR in 2027,59.4%,47.7%,45.9%,83.7%,72.8%,59.5%
SAR in 2030,35.0%,26.0%,26.6%,53.3%,47.5%,36.7%
SAR in 2035,22.1%,14.9%,15.6%,37.2%,31.1%,25.2%
