milestone_name,num_achieved,num_not_achieved,total_rollouts,achievement_rate_pct,mode,p10,p50,p90
AI2027-SC,1301,106,1407,92.47,0.1667,0.0545,0.3731,5.5415
AIR-5x,1401,6,1407,99.57,0.0833,0.0000,0.1065,1.2161
AIR-25x,1370,37,1407,97.37,0.0833,0.0168,0.4565,6.9234
AIR-250x,1213,194,1407,86.21,0.2500,0.0738,1.1161,1000000.0000
AIR-2000x,1057,350,1407,75.12,0.0833,0.0972,2.9521,1000000.0000
AIR-10000x,912,495,1407,64.82,0.0833,0.1171,10.0626,1000000.0000
SAR-level-experiment-selection-skill,1405,2,1407,99.86,0.0833,0.0000,0.3111,2.7137
SIAR-level-experiment-selection-skill,1404,3,1407,99.79,0.0833,0.0903,0.7875,11.0272
STRAT-AI,1404,3,1407,99.79,0.0833,0.0903,0.7875,11.0272
TED-AI,1385,22,1407,98.44,0.1667,0.1102,1.0627,26.8303
ASI,1368,39,1407,97.23,0.1667,0.1322,1.8175,46.6624
