time_decimal_year,AC,AI2027-SC,SAR-level-experiment-selection-skill,SIAR-level-experiment-selection-skill
2025.600000,0.0042029421,0.0026018213,0.0029020314,0.0018012609
2025.683325,0.0046032223,0.0029020314,0.0032022416,0.0022015411
2025.766651,0.0049034324,0.0032022416,0.0035024517,0.0023016111
2025.849976,0.0052036425,0.0034023817,0.0037025918,0.0025017512
2025.933302,0.0057039928,0.0035024517,0.0040028020,0.0026018213
2026.016627,0.0071049735,0.0040028020,0.0048033624,0.0028019614
2026.099952,0.0082057440,0.0047032923,0.0054037826,0.0036025218
2026.183278,0.0113079155,0.0062043430,0.0074051836,0.0047032923
2026.266603,0.0152106475,0.0082057440,0.0098068648,0.0064044831
2026.349928,0.0198138697,0.0106074252,0.0118082658,0.0082057440
2026.433254,0.0243170219,0.0128089663,0.0145101571,0.0097067948
2026.516579,0.0314219954,0.0145101571,0.0177123987,0.0121084759
2026.599905,0.0376263384,0.0180126088,0.0211147803,0.0148103673
2026.683230,0.0460322226,0.0227159011,0.0272190533,0.0187130992
2026.766555,0.0578404883,0.0274191934,0.0325227659,0.0221154808
2026.849881,0.0666466527,0.0336235365,0.0393275293,0.0265185630
2026.933206,0.0765535875,0.0398278795,0.0462323627,0.0313219253
2027.016531,0.0868608026,0.0465325728,0.0522365656,0.0356249375
2027.099857,0.0982687882,0.0527369158,0.0592414690,0.0402281597
2027.183182,0.1101771240,0.0598418893,0.0674472130,0.0458320825
2027.266508,0.1217852497,0.0677474232,0.0746522566,0.0529370559
2027.349833,0.1341939358,0.0756529571,0.0825577905,0.0580406284
2027.433158,0.1475032523,0.0830581407,0.0910637446,0.0643450415
2027.516484,0.1612128490,0.0912638847,0.0997698389,0.0694486140
2027.599809,0.1721204843,0.1010707495,0.1091764235,0.0774542180
2027.683134,0.1833283298,0.1091764235,0.1175823076,0.0849594716
2027.766460,0.1948363855,0.1174822376,0.1274892425,0.0921645152
2027.849785,0.2063444411,0.1268888222,0.1369958971,0.0992694886
2027.933111,0.2167517262,0.1353947763,0.1457019914,0.1060742520
2028.016436,0.2285599920,0.1427999600,0.1560092064,0.1118783148
2028.099761,0.2411688182,0.1519063344,0.1655158611,0.1180826579
2028.183087,0.2526768738,0.1639147403,0.1772240568,0.1265886120
2028.266412,0.2639847894,0.1738216752,0.1870309216,0.1353947763
2028.349737,0.2751926348,0.1850295207,0.1952366657,0.1441008706
2028.433063,0.2858000600,0.1928349845,0.2033423396,0.1501050736
2028.516388,0.2950065046,0.2017412189,0.2121485040,0.1571099770
2028.599714,0.3041128790,0.2107475233,0.2215550886,0.1648153708
2028.683039,0.3146202342,0.2202541779,0.2282597818,0.1730211148
2028.766364,0.3232262584,0.2292604823,0.2369658761,0.1792254578
2028.849690,0.3336335435,0.2358651056,0.2449714800,0.1845291704
2028.933015,0.3415390774,0.2430701491,0.2528770139,0.1911337937
2029.016340,0.3501451016,0.2512758931,0.2611828280,0.1979385570
2029.099666,0.3573501451,0.2572800961,0.2685880116,0.2043430401
2029.182991,0.3664565196,0.2648854198,0.2763934754,0.2098468928
2029.266317,0.3754628240,0.2723906735,0.2845992195,0.2167517262
2029.349642,0.3825677975,0.2789952967,0.2915040528,0.2228559992
2029.432967,0.3900730511,0.2872010407,0.2994095867,0.2276593616
2029.516293,0.3980786551,0.2933053137,0.3065145602,0.2343640548
2029.599618,0.4058841189,0.3001100771,0.3132192535,0.2408686080
2029.682944,0.4130891624,0.3084158911,0.3199239468,0.2479735815
2029.766269,0.4212949064,0.3157210047,0.3286300410,0.2537776444
2029.849594,0.4286000200,0.3241268888,0.3365355749,0.2598819173
2029.932920,0.4366056239,0.3307315121,0.3440408286,0.2653857700
2030.016245,0.4411087761,0.3372360652,0.3498448914,0.2720904633
