time_decimal_year,AI2027-SC,AIR-5x,AIR-25x,AIR-250x,AIR-2000x,AIR-10000x,SAR-level-experiment-selection-skill,SIAR-level-experiment-selection-skill,STRAT-AI,TED-AI,ASI
0.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.083323,63.9739564387,215.0189911630,45.7120383436,15.1264461517,7.1739719850,16.5690326185,76.1537091288,15.4158598969,15.4158598969,31.7556345505,19.5232129930
0.166645,70.6625460434,143.5537164401,47.7395410596,16.4959736620,7.7305579699,18.1589003634,73.5860430459,17.1489216449,17.1489216449,35.4519584739,22.3716927809
0.249968,70.7278595335,100.5782583109,47.3945240516,17.1633860134,8.0365016369,18.4958593163,68.4383043970,18.0654323470,18.0654323470,35.5162617153,23.2998794367
0.333291,67.9009962852,74.0359369252,45.9841523899,17.4888064219,8.2238519143,18.2576789330,62.6641783835,18.5811232750,18.5811232750,34.1617376882,23.3201348593
0.416613,63.7232170850,56.7261653567,44.0288625227,17.6070683002,8.3397285910,17.7107240614,56.9483273071,18.8516896937,18.8516896937,32.2271287210,22.8408862244
0.499936,58.9757064053,44.7602786911,41.7991684438,17.5867845074,8.4072353012,16.9918870191,51.5714304472,18.9563160748,18.9563160748,30.0842941324,22.0724282410
0.583259,54.0871770833,36.0796170051,39.4532929324,17.4687426985,8.4397135464,16.1810306708,46.6429794612,18.9420493371,18.9420493371,27.9088749593,21.1367417223
0.666581,49.2993116478,29.5700811604,37.0891573786,17.2795858672,8.4456916704,15.3280987205,42.1910615628,18.8396203811,18.8396203811,25.7872679278,20.1098768386
0.749904,44.7469141830,24.5915755378,34.7686852185,17.0378394395,8.4310135665,14.4655482933,38.2036880169,18.6704149987,18.6704149987,23.7637458607,19.0415646804
0.833226,40.5009770648,20.7426745493,32.5308431626,16.7569596377,8.3998907632,13.6148486082,34.6497242841,18.4499979516,18.4499979516,21.8619686682,17.9653569861
0.916549,36.5934123375,17.7475281726,30.3993415734,16.4470343844,8.3554763180,12.7902060763,31.4900203373,18.1900772964,18.1900772964,20.0947769911,16.9042906292
0.999872,33.0319241641,15.4027836306,28.3875026236,16.1158051185,8.3002019560,12.0008513900,28.6834250976,17.8996825585,17.8996825585,18.4685622026,15.8742507691
1.083194,29.8092633173,13.5526106104,26.5014927418,15.7693171111,8.2359879464,11.2525201396,26.1899890808,17.5859129130,17.5859129130,16.9852112932,14.8860757393
1.166517,26.9091404408,12.0762635834,24.7425452054,15.4123529662,8.1643799940,10.5484521948,23.9725758266,17.2544345339,17.2544345339,15.6430611280,13.9469392367
1.249840,24.3100833042,10.8809133316,23.1085256706,15.0487327652,8.0866420263,9.8900890485,21.9975624741,16.9098237970,16.9098237970,14.4375191912,13.0612986698
1.333162,21.9879910808,9.8965324649,21.5950522485,14.6815285412,8.0038211441,9.2775734593,20.2350218734,16.5558115782,16.5558115782,13.3616185877,12.2315716169
1.416485,19.9178400135,9.0715498443,20.1963038533,14.3132216615,7.9167943515,8.7101150132,18.6586173765,16.1954617526,16.1954617526,12.4065865351,11.4586343461
1.499808,18.0748217060,8.3688815585,18.9056051244,13.9458209501,7.8263029810,8.1862619551,17.2453478979,15.8313045463,15.8313045463,11.5624226159,10.7421987978
1.583130,16.4350924606,7.7623263079,17.7158483969,13.5809530731,7.7329785790,7.7041057706,15.9752251564,15.4654380787,15.4654380787,10.8184546126,10.0811031514
1.666453,14.9762498445,7.2334339805,16.6197954023,13.2199328590,7.6373627279,7.2614364225,14.8309312988,15.0996069667,15.0996069667,10.1638377327,9.4735387612
1.749776,13.6776143496,6.7689490217,15.6102895583,12.8638187989,7.5399224667,6.8558606713,13.7974844752,14.7352640552,14.7352640552,9.5879720951,8.9172288852
1.833098,12.5203700091,6.3588701379,14.6804015794,12.5134573995,7.4410624616,6.4848923159,12.8619272535,14.3736195090,14.3736195090,9.0808253694,8.4095701011
1.916421,11.4876025006,5.9950995476,13.8235253955,12.1695190140,7.3411347339,6.1460207752,12.0130449921,14.0156802913,14.0156802913,8.6331585083,7.9477443970
1.999744,10.5642632244,5.6706019911,13.0334372009,11.8325270615,7.2404465259,5.8367627691,11.2411165730,13.6622822242,13.6622822242,8.2366610022,7.5288079736
2.083066,9.7370810503,5.3789643978,12.3043273692,11.5028820527,7.1392667270,5.5547006931,10.5376971172,13.3141162573,13.3141162573,7.8840076890,7.1497614220
2.166389,8.9944386485,5.1142400688,11.6308126585,11.1808814856,7.0378311734,5.2975104504,9.8954307316,12.9717501584,12.9717501584,7.5688521383,6.8076049349
2.249711,8.3262267921,4.8709703518,11.0079343617,10.8667364251,6.9363470573,5.0629809012,9.3078905359,12.6356465546,12.6356465546,7.2857725369,6.4993814426
2.333034,7.7236872863,4.6442950410,10.4311467022,10.5605853925,6.8349966232,4.8490266404,8.7694428951,12.3061780325,12.3061780325,7.0301853833,6.2222099757
2.416357,7.1792529534,4.4300843804,9.8962987262,10.2625060573,6.7339402889,4.6536954826,8.2751327560,11.9836398532,11.9836398532,6.7982406693,5.9733110860
2.499679,6.6863912268,4.2250467974,9.3996121304,9.9725251165,6.6333192988,4.4751717707,7.8205871338,11.6682607143,11.6682607143,6.5867100164,5.7500257947
2.583002,6.2394562817,4.0267853233,8.9376568287,9.6906266721,6.5332579934,4.3117764266,7.4019340392,11.3602119063,11.3602119063,6.3928767832,5.5498292429
2.666325,5.8335532074,3.8337912528,8.5073255777,9.4167593544,6.4338657601,4.1619644973,7.0157344242,11.0596151360,11.0596151360,6.2144346952,5.3703399971
2.749647,5.4644164820,3.6453757495,8.1058085959,9.1508423929,6.3352387205,4.0243208230,6.6589250290,10.7665492407,10.7665492407,6.0493992757,5.2093257803
2.832970,5.1283039391,3.4615489076,7.7305688271,8.8927707998,6.2374611952,3.8975543412,6.3287703023,10.4810559726,10.4810559726,5.8960343552,5.0647062642
2.916293,4.8219065156,3.2828614018,7.3793182760,8.6424198019,6.1406069823,3.7804914525,6.0228218436,10.2031449998,10.2031449998,5.7527942932,4.9345534495
2.999615,4.5422733341,3.1102265463,7.0499956780,8.3996486326,6.0447404768,3.6720687957,5.7388840617,9.9327982454,9.9327982454,5.6182812778,4.8170900760
3.082938,4.2867511109,2.9447406892,6.7407456441,8.1643037788,5.9499176558,3.5713257133,5.4749849576,9.6699736634,9.6699736634,5.4912161538,4.7106864392
3.166261,4.0529364695,2.7875178750,6.4498993347,7.9362217604,5.8561869464,3.4773966323,5.2293511317,9.4146085347,9.4146085347,5.3704206681,4.6138559356
3.249583,3.8386394836,2.6395511900,6.1759566511,7.7152315081,5.7635899957,3.3895035363,5.0003862714,9.1666223524,9.1666223524,5.2548087339,4.5252496142
3.332906,3.6418566428,2.5016088354,5.9175698947,7.5011563973,5.6721623530,3.3069486638,4.7866525082,8.9259193530,8.9259193530,5.1433842821,4.4436499757
3.416229,3.4607514217,2.3741683831,5.6735288175,7.2938159829,5.5819340787,3.2291075298,4.5868541491,8.6923907432,8.6923907432,5.0352434047,4.3679642271
3.499551,3.2936407081,2.2573884456,5.4427469700,7.0930274778,5.4929302869,3.1554223418,4.3998233722,8.4659166623,8.4659166623,4.9295787697,4.2972171712
3.582874,3.1389854920,2.1511135521,5.2242492500,6.8986070088,5.4051716313,3.0853958515,4.2245075594,8.2463679160,8.2463679160,4.8256846315,4.2305438847
3.666196,2.9953844130,2.0549056348,5.0171605530,6.7103706798,5.3186747414,3.0185856674,4.0599579951,8.0336075101,8.0336075101,4.7229611467,4.1671823143
3.749519,2.8615689854,1.9680942745,4.8206954287,6.5281354673,5.2334526142,2.9545990334,3.9053197130,7.8274920093,7.8274920093,4.6209170817,4.1064658985
3.832842,2.7363995532,1.8898376583,4.6341486544,6.3517199727,5.1495149670,2.8930880681,3.7598223174,7.6278727436,7.6278727436,4.5191703579,4.0478163037
3.916164,2.6188612597,1.8191868764,4.4568866445,6.1809450468,5.0668685560,2.8337454471,3.6227716333,7.4345968797,7.4345968797,4.4174461861,3.9907363452
3.999487,2.5080595297,1.7551474716,4.2883396218,6.0156343070,4.9855174640,2.7763005052,3.4935420762,7.2475083738,7.2475083738,4.3155727963,3.9348031464
4.082810,2.4032147567,1.6967337720,4.1279944851,5.8556145588,4.9054633611,2.7205157294,3.3715696488,7.0664488189,7.0664488189,4.2134749613,3.8796615781
4.166132,2.3036560488,1.6430132311,3.9753883162,5.7007161365,4.8267057402,2.6661836108,3.2563454959,6.8912582000,6.8912582000,4.1111656501,3.8250180044
4.249455,2.2088140240,1.5931395539,3.8301024737,5.5507731715,4.7492421321,2.6131238212,3.1474099627,6.7217755652,6.7217755652,4.0087362257,3.7706343545
4.332778,2.1182127449,1.5463746675,3.6917572314,5.4056238006,4.6730682999,2.5611806815,3.0443471151,6.5578396239,6.5578396239,3.9063456372,3.7163225289
4.416100,2.0314609576,1.5021005204,3.5600069195,5.2651103204,4.5981784158,2.5102208871,2.9467796909,6.3992892783,6.3992892783,3.8042090543,3.6619391428
