time_decimal_year,AC,AI2027-SC,SAR-level-experiment-selection-skill,SIAR-level-experiment-selection-skill
2025.600000,0.0040008002,0.0024004801,0.0024004801,0.0018003601
2025.678192,0.0050010002,0.0030006001,0.0024004801,0.0018003601
2025.756384,0.0054010802,0.0036007201,0.0030006001,0.0024004801
2025.834577,0.0056011202,0.0038007602,0.0034006801,0.0026005201
2025.912769,0.0056011202,0.0040008002,0.0034006801,0.0028005601
2025.990961,0.0056011202,0.0040008002,0.0036007201,0.0030006001
2026.069153,0.0058011602,0.0042008402,0.0038007602,0.0032006401
2026.147345,0.0064012803,0.0042008402,0.0042008402,0.0032006401
2026.225537,0.0070014003,0.0044008802,0.0044008802,0.0032006401
2026.303730,0.0074014803,0.0050010002,0.0050010002,0.0038007602
2026.381922,0.0078015603,0.0056011202,0.0052010402,0.0040008002
2026.460114,0.0084016803,0.0062012402,0.0058011602,0.0046009202
2026.538306,0.0104020804,0.0064012803,0.0062012402,0.0056011202
2026.616498,0.0136027205,0.0074014803,0.0086017203,0.0068013603
2026.694691,0.0158031606,0.0094018804,0.0110022004,0.0082016403
2026.772883,0.0186037207,0.0112022404,0.0126025205,0.0098019604
2026.851075,0.0250050010,0.0148029606,0.0154030806,0.0122024405
2026.929267,0.0310062012,0.0180036007,0.0196039208,0.0140028006
2027.007459,0.0386077215,0.0206041208,0.0234046809,0.0178035607
2027.085651,0.0450090018,0.0256051210,0.0282056411,0.0228045609
2027.163844,0.0526105221,0.0322064413,0.0338067614,0.0280056011
2027.242036,0.0610122024,0.0350070014,0.0382076415,0.0308061612
2027.320228,0.0728145629,0.0384076815,0.0462092418,0.0348069614
2027.398420,0.0842168434,0.0462092418,0.0520104021,0.0406081216
2027.476612,0.0962192438,0.0538107622,0.0592118424,0.0464092819
2027.554804,0.1096219244,0.0616123225,0.0680136027,0.0532106421
2027.632997,0.1260252050,0.0688137628,0.0770154031,0.0586117223
2027.711189,0.1398279656,0.0754150830,0.0852170434,0.0644128826
2027.789381,0.1536307261,0.0852170434,0.0942188438,0.0728145629
2027.867573,0.1680336067,0.0958191638,0.1070214043,0.0826165233
2027.945765,0.1870374075,0.1088217644,0.1184236847,0.0916183237
2028.023958,0.2064412883,0.1198239648,0.1312262452,0.1012202440
2028.102150,0.2196439288,0.1304260852,0.1422284457,0.1108221644
2028.180342,0.2338467694,0.1466293259,0.1532306461,0.1242248450
2028.258534,0.2506501300,0.1572314463,0.1666333267,0.1352270454
2028.336726,0.2686537307,0.1690338068,0.1780356071,0.1434286857
2028.414918,0.2836567313,0.1798359672,0.1944388878,0.1496299260
2028.493111,0.2990598120,0.1930386077,0.2064412883,0.1638327666
2028.571303,0.3152630526,0.2048409682,0.2192438488,0.1750350070
2028.649495,0.3300660132,0.2158431686,0.2326465293,0.1868373675
2028.727687,0.3462692539,0.2268453691,0.2468493699,0.1958391678
2028.805879,0.3636727345,0.2384476895,0.2566513303,0.2058411682
2028.884072,0.3758751750,0.2510502100,0.2670534107,0.2152430486
2028.962264,0.3894778956,0.2622524505,0.2808561712,0.2260452090
2029.040456,0.4034806961,0.2746549310,0.2918583717,0.2348469694
2029.118648,0.4178835767,0.2850570114,0.3038607722,0.2450490098
2029.196840,0.4310862172,0.2968593719,0.3150630126,0.2538507702
2029.275032,0.4448889778,0.3090618124,0.3286657331,0.2658531706
2029.353225,0.4584916983,0.3202640528,0.3412682537,0.2780556111
2029.431417,0.4708941788,0.3310662132,0.3514702941,0.2918583717
2029.509609,0.4822964593,0.3436687337,0.3636727345,0.3014602921
