time_decimal_year,AI2027-SC,AIR-5x,AIR-25x,AIR-250x,AIR-2000x,AIR-10000x,SAR-level-experiment-selection-skill,SIAR-level-experiment-selection-skill,STRAT-AI,TED-AI,ASI
0.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.083324,24.0843716301,63.5179475303,16.6094388812,13.7631742932,8.6081842350,9.9634005132,36.1847028168,16.4351359182,16.4351359182,16.7688115107,13.4863226611
0.166649,27.4781717226,66.9164540756,18.3502498504,15.3619186259,9.5706351170,11.7079189527,40.1554054725,18.7796045032,18.7796045032,19.6556717853,15.8196923155
0.249973,29.2384611862,64.0814325360,19.3384371810,16.1283486778,10.0797172393,12.5009350170,41.1765222914,19.8875090225,19.8875090225,20.9312365932,16.8829740650
0.333297,30.1742590699,58.8233276653,19.9505631329,16.4989137108,10.3721988988,12.8187987914,40.7720541347,20.3915361167,20.3915361167,21.3967587345,17.2981093404
0.416621,30.5991663724,52.7747356307,20.3264859171,16.6370175646,10.5345304822,12.8550971180,39.5904450768,20.5409931599,20.5409931599,21.3850731643,17.3246337794
0.499946,30.6770374899,46.7370637792,20.5372787804,16.6252134603,10.6098111551,12.7132074733,37.9805286456,20.4662908549,20.4662908549,21.0746626384,17.1039045329
0.583270,30.5073428303,41.0971251378,20.6253911487,16.5119039840,10.6232240147,12.4560956190,36.1499523544,20.2455776712,20.2455776712,20.5736921525,16.7232348879
0.666594,30.1561500208,36.0181565521,20.6188418844,16.3280873655,10.5909854457,12.1250588230,34.2285567596,19.9293878639,19.9293878639,19.9524750977,16.2404163559
0.749918,29.6700034704,31.5426677673,20.5374225080,16.0947818449,10.5242421484,11.7483974939,32.2992528321,19.5519038702,19.5519038702,19.2587560038,15.6952529905
0.833243,29.0830563841,27.6509126503,20.3958096861,15.8268027767,10.4310200852,11.3460061342,30.4149780102,19.1368634058,19.1368634058,18.5258621054,15.1157720894
0.916567,28.4211109437,24.2942242315,20.2052881691,15.5348804895,10.3172999083,10.9320487822,28.6087761781,18.7009755373,18.7009755373,17.7774417957,14.5219039419
0.999891,27.7040807063,21.4134995762,19.9747778459,15.2269369201,10.1876558803,10.5166344001,26.9001416936,18.2560443322,18.2560443322,17.0303977501,13.9278215768
1.083215,26.9475791829,18.9488931224,19.7114826060,14.9088992380,10.0456579937,10.1069259022,25.2991933579,17.8103635605,17.8103635605,16.2967924708,13.3435100185
1.166540,26.1639921903,16.8444179569,19.4213199880,14.5852416380,9.8941370399,9.7079069621,23.8095232155,17.3696721681,17.3696721681,15.5851354529,12.7758624832
1.249864,25.3632288481,15.0497199959,19.1092169507,14.2593590180,9.7353660880,9.3229307482,22.4302020834,16.9378305583,16.9378305583,14.9012816082,12.2294702303
1.333188,24.5532636859,13.5203877635,18.7793202641,13.9338321485,9.5711887207,8.9541233771,21.1572279022,16.5173114434,16.5173114434,14.2490764489,11.7072051538
1.416513,23.7405379447,12.2175898879,18.4351504209,13.6106202754,9.4031120951,8.6026868643,19.9845921126,16.1095629965,16.1095629965,13.6308312183,11.2106570009
1.499837,22.9302629977,11.1074758165,18.0797169955,13.2912037167,9.2323760260,8.2691302824,18.9050743574,15.7152813753,15.7152813753,13.0476806832,10.7404655661
1.583161,22.1266539086,10.1605580652,17.7156069615,12.9766911217,9.0600052819,7.9534482204,17.9108370058,15.3346173060,15.3346173060,12.4998578708,10.2965751642
1.666485,21.3331119776,9.3511676464,17.3450535812,12.6679012100,8.8868498466,7.6552596587,16.9938674682,14.9673336984,14.9673336984,11.9869085486,9.8784304724
1.749810,20.5523692968,8.6570055060,16.9699910378,12.3654257411,8.7136163750,7.3739165385,16.1463018508,14.6129262792,14.6129262792,11.5078609170,9.4851274715
1.833134,19.7866045223,8.0587798393,16.5920984049,12.0696784581,8.5408930869,7.1085887608,15.3606545456,14.2707159166,14.2707159166,11.0613612235,9.1155296028
1.916458,19.0375365067,7.5399073110,16.2128355028,11.7809334078,8.3691696921,6.8583306254,14.6299726660,13.9399190443,13.9399190443,10.6457828614,8.7683567533
1.999782,18.3065006765,7.0862557341,15.8334724860,11.4993551183,8.1988534973,6.6221325123,13.9479305018,13.6197010019,13.6197010019,10.2593144189,8.4422528952
2.083107,17.5945118029,6.6859104719,15.4551145170,11.2250224761,8.0302825427,6.3989607479,13.3088765544,13.3092159757,13.3092159757,9.9000307246,8.1358369027
2.166431,16.9023159311,6.3289530057,15.0787225400,10.9579476828,7.8637363985,6.1877879674,12.7078437615,13.0076363868,13.0076363868,9.5659499636,7.8477400964
2.249755,16.2304335929,6.0072457505,14.7051309184,10.6980913433,7.6994451022,5.9876158145,12.1405319413,12.7141739605,12.7141739605,9.2550792633,7.5766333289
2.333079,15.5791959506,5.7142214552,14.3350625279,10.4453744918,7.5375966003,5.7974914599,11.6032701257,12.4280942366,12.4280942366,8.9654506712,7.3212458513
2.416404,14.9487751692,5.4446782110,13.9691417584,10.1996881839,7.3783429807,5.6165191448,11.0929652372,12.1487259279,12.1487259279,8.6951490995,7.0803777570
2.499728,14.3392100419,5.1945824270,13.6079057855,9.9609011426,7.2218057176,5.4438677323,10.6070424573,11.8754662493,11.8754662493,8.4423335518,6.8529074413
2.583052,13.7504276899,4.9608824735,13.2518143953,9.7288658455,7.0680801047,5.2787750758,10.1433816175,11.6077831234,11.6077831234,8.2052527465,6.6377952358
2.666376,13.1822619962,4.7413354162,12.9012585903,9.5034233592,6.9172390176,5.1205498735,9.7002530312,11.3452149933,11.3452149933,7.9822560904,6.4340841463
2.749701,12.6344693098,4.5343486790,12.5565681616,9.2844071644,6.7693361178,4.9685715556,9.2762553617,11.0873688332,11.0873688332,7.7718008218,6.2408984401
2.833025,12.1067418578,4.3388378083,12.2180183765,9.0716461678,6.6244085904,4.8222886614,8.8702574079,10.8339168346,10.8339168346,7.5724560282,6.0574406769
