milestone_name,num_achieved,num_not_achieved,total_rollouts,achievement_rate_pct,mode,p10,p50,p90
AI2027-SC,761,54,815,93.37,0.1666,0.0495,0.2978,3.4450
AIR-5x,567,248,815,69.57,0.0833,0.0294,0.4546,1000000.0000
AIR-25x,757,58,815,92.88,0.0833,0.0320,0.3607,8.0296
AIR-250x,733,82,815,89.94,0.0833,0.0492,0.6213,600065.4282
AIR-2000x,647,168,815,79.39,0.0833,0.0642,0.9827,1000000.0000
AIR-10000x,569,246,815,69.82,0.0833,0.0765,1.9505,1000000.0000
SAR-level-experiment-selection-skill,751,64,815,92.15,0.0833,0.0287,0.3353,5.8080
SIAR-level-experiment-selection-skill,814,1,815,99.88,0.1666,0.0683,0.4665,4.3493
STRAT-AI,814,1,815,99.88,0.1666,0.0683,0.4665,4.3493
TED-AI,807,8,815,99.02,0.1666,0.0793,0.5527,9.9340
ASI,807,8,815,99.02,0.1666,0.0925,0.7751,17.7032
