milestone_name,num_achieved,num_not_achieved,total_rollouts,achievement_rate_pct,mode,p10,p50,p90
AI2027-SC,485,54,539,89.98,0.1666,0.0941,0.6108,200041.9040
AIR-5x,375,164,539,69.57,0.0833,0.0551,1.2080,1000000.0000
AIR-25x,514,25,539,95.36,0.0833,0.0762,0.7677,13.2634
AIR-250x,474,65,539,87.94,0.1666,0.1264,1.5688,1000000.0000
AIR-2000x,410,129,539,76.07,0.1666,0.1741,4.4733,1000000.0000
AIR-10000x,359,180,539,66.60,0.2499,0.2037,12.1176,1000000.0000
SAR-level-experiment-selection-skill,505,34,539,93.69,0.0833,0.0728,0.6792,13.8661
SIAR-level-experiment-selection-skill,537,2,539,99.63,0.2499,0.1406,1.3343,16.4257
STRAT-AI,537,2,539,99.63,0.2499,0.1406,1.3343,16.4257
TED-AI,528,11,539,97.96,0.2499,0.1561,1.8976,40.6039
ASI,522,17,539,96.85,0.2499,0.2010,3.0858,64.8614
