time_decimal_year,AI2027-SC,AIR-5x,AIR-25x,AIR-250x,AIR-2000x,AIR-10000x,SAR-level-experiment-selection-skill,SIAR-level-experiment-selection-skill,STRAT-AI,TED-AI,ASI
0.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.083300,91.4543567073,170.0567108721,123.3273675934,110.3622450367,101.2142399144,101.9214423886,199.0385159520,70.1950570100,70.1950570100,73.6844187048,90.6864051601
0.166600,97.1912520903,121.5607597733,116.8078375165,101.4069363469,91.4564236408,87.3583681421,133.4453934321,75.8696074373,75.8696074373,81.2423750404,96.7247395132
0.249899,94.1036450169,87.4705313055,101.7325480485,85.9395321014,74.3254220449,67.1600336714,97.1816305859,74.6267421641,74.6267421641,79.0592219494,85.1120857429
0.333199,87.4881598593,63.1403922834,85.8265347039,71.3377057240,59.1917429662,51.2199811669,77.5662294602,70.5265055562,70.5265055562,73.0535257460,70.9548200110
0.416499,79.5117615523,45.4440635550,71.5911841351,59.1304601113,47.4538351152,39.6800517135,62.7385770737,65.2406683513,65.2406683513,65.7300558529,58.6904804182
0.499799,71.2432878967,33.4646853569,59.7168789922,49.3459473245,38.7563526210,31.3890518435,51.0673165376,59.6031078098,59.6031078098,58.2932413392,49.0073957128
0.583099,63.2369960132,25.9284587002,50.1467602645,41.5789333512,32.4032914296,25.4256388949,42.0190123417,54.0532048544,54.0532048544,51.3204124549,41.4606691067
0.666399,55.7734532625,21.1576528955,42.5321063261,35.3706299274,27.6970432687,21.1313237155,34.2471291108,48.8187341387,48.8187341387,45.0593370595,35.4416896384
0.749698,48.9788403118,17.8254345592,36.4532698325,30.3484815746,24.0661340274,18.0081746142,27.6158931325,44.0068433008,44.0068433008,39.5805700680,30.4878216491
0.832998,42.8904415845,15.2484319158,31.5265301842,26.2478084428,21.1155253149,15.6745295178,22.7210146653,39.6544762204,39.6544762204,34.8613579201,26.3286376816
