time_decimal_year,AI2027-SC,AIR-5x,AIR-25x,AIR-250x,AIR-2000x,AIR-10000x,SAR-level-experiment-selection-skill,SIAR-level-experiment-selection-skill,STRAT-AI,TED-AI,ASI
0.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.083296,111.1041828595,114.0700171102,73.9114303203,42.7175928562,20.1590579860,11.6610355247,85.3985406494,39.8908795246,39.8908795246,26.3374812843,13.5824732376
0.166593,117.6594359866,104.8468291359,75.5008955589,46.5046707488,21.9568189012,12.4950410800,85.4832891676,44.8328798019,44.8328798019,29.7920931158,14.8818731316
0.249889,108.4086028890,88.3979992933,72.1725421639,46.8443812931,22.6412379384,12.8634262356,79.6029116389,46.3726816734,46.3726816734,31.3667822396,15.5801186158
0.333185,95.1799001348,72.0968133009,67.0802102098,45.6732393553,22.8108134114,13.0176961432,72.0178529505,46.2930694981,46.2930694981,32.0014680038,15.9915502415
0.416481,82.0996150896,57.9612867420,61.4078725816,43.7538501262,22.6873784000,13.0472726533,64.2337298891,45.3062883887,45.3062883887,32.0667659739,16.2296229892
0.499778,70.4257493809,46.4411847994,55.7075806124,41.4718033997,22.3815931410,12.9958147900,56.8804245088,43.7871700696,43.7871700696,31.7584469222,16.3504594382
0.583074,60.3249129328,37.4186885630,50.2567126709,39.0442185030,21.9574156831,12.8883878715,50.2185844774,41.9601700624,41.9601700624,31.1958745981,16.3866977229
0.666370,51.6201597380,30.5571780938,45.1933781081,36.5993709463,21.4551878653,12.7408898069,44.3310298365,39.9692001029,39.9692001029,30.4581566941,16.3593180505
0.749666,44.0879099310,25.4504237728,40.5782946612,34.2139562805,20.9018414496,12.5641053008,39.2094469715,37.9098490723,37.9098490723,29.6005502757,16.2827587716
0.832963,37.5509308757,21.6965482766,36.4268504891,31.9329217039,20.3160669482,12.3657102806,34.7987033974,35.8464980462,35.8464980462,28.6630066882,16.1674583470
0.916259,31.8869595498,18.9363146623,32.7273779726,29.7809833085,19.7111935128,12.1513659703,31.0215311289,33.8223808898,33.8223808898,27.6750792506,16.0212488147
0.999555,27.0104601565,16.8708739321,29.4523641736,27.7697375445,19.0969108920,11.9253621539,27.7930415553,31.8659587293,31.8659587293,26.6589551805,15.8501781944
1.082851,22.8525497501,15.2665223621,26.5656961642,25.9022464619,18.4803562564,11.6910180001,25.0294245211,29.9951891523,29.9951891523,25.6314369889,15.6590246631
1.166148,19.3475602085,13.9512807855,24.0274821135,24.1760836078,17.8668299362,11.4509437633,22.6530370471,28.2205027400,28.2205027400,24.6052959829,15.4516332749
