milestone_name,num_achieved,num_not_achieved,total_rollouts,achievement_rate_pct,mode,p10,p50,p90
AI2027-SC,24,1,25,96.00,0.2499,0.0756,0.4896,2.2876
AIR-5x,12,13,25,48.00,0.0833,0.0536,1000000.0000,1000000.0000
AIR-25x,25,0,25,100.00,0.2499,0.0503,0.5222,8.8882
AIR-250x,24,1,25,96.00,0.5832,0.1365,2.2103,55.5508
AIR-2000x,21,4,25,84.00,0.9998,0.1530,4.8457,1000000.0000
AIR-10000x,15,10,25,60.00,0.4166,0.1657,9.3325,1000000.0000
SAR-level-experiment-selection-skill,22,3,25,88.00,0.1666,0.0509,0.4748,600006.7691
SIAR-level-experiment-selection-skill,25,0,25,100.00,0.7498,0.1748,1.1576,20.4691
STRAT-AI,25,0,25,100.00,0.7498,0.1748,1.1576,20.4691
TED-AI,25,0,25,100.00,0.9998,0.1748,2.7092,39.9207
ASI,24,1,25,96.00,2.0829,0.1986,5.6852,51.8494
