milestone_name,num_achieved,num_not_achieved,total_rollouts,achievement_rate_pct,mode,p10,p50,p90
AI2027-SC,132,14,146,90.41,0.1666,0.0672,0.3538,9.2261
AIR-5x,104,42,146,71.23,0.0833,0.0500,0.4488,1000000.0000
AIR-25x,137,9,146,93.84,0.1666,0.0410,0.5132,13.5581
AIR-250x,127,19,146,86.99,0.2499,0.0893,0.9161,1000000.0000
AIR-2000x,117,29,146,80.14,0.3332,0.1268,2.1622,1000000.0000
AIR-10000x,101,45,146,69.18,0.4165,0.1617,6.8127,1000000.0000
SAR-level-experiment-selection-skill,129,17,146,88.36,0.1666,0.0388,0.4232,1000000.0000
SIAR-level-experiment-selection-skill,145,1,146,99.32,0.2499,0.1189,0.8341,6.1385
STRAT-AI,145,1,146,99.32,0.2499,0.1189,0.8341,6.1385
TED-AI,143,3,146,97.95,0.4165,0.1406,1.0209,10.1768
ASI,143,3,146,97.95,0.5831,0.1618,1.8223,25.8321
