time_decimal_year,AI2027-SC,AIR-5x,AIR-25x,AIR-250x,AIR-2000x,AIR-10000x,SAR-level-experiment-selection-skill,SIAR-level-experiment-selection-skill,STRAT-AI,TED-AI,ASI
0.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.083273,153.0722946120,139.7777382860,122.6989327498,86.7190508835,47.2269524278,54.6831078245,132.0493727044,118.8670418093,118.8670418093,85.0631620834,67.2789827602
0.166546,143.0683277252,119.0139790144,111.6682977343,85.1069756521,47.6164265304,54.7127630916,126.7308166380,117.1861195721,117.1861195721,88.0806858599,70.3152339941
0.249819,122.2360991156,92.9306250239,97.2374018688,79.1644369382,45.9374937506,51.4422808920,109.1170025258,106.7406430291,106.7406430291,84.2105344415,68.6877061896
0.333092,100.3714348114,69.7081771626,83.4184896843,72.1031563839,43.5077165902,47.1291973786,89.7112318149,94.1804838990,94.1804838990,77.7715254154,65.2482239663
0.416365,80.0212304014,50.8474095779,71.2079852729,65.0019903691,40.8013811056,42.5910065721,72.0636110564,81.6800934776,81.6800934776,70.4892203897,61.0559961645
0.499638,62.1407014385,36.3455265411,60.7716749096,58.2924248062,38.0395107732,38.1910060078,57.3418773616,70.0786969478,70.0786969478,63.1965031350,56.6191974712
0.582911,47.1191259689,25.7629807337,51.9954994685,52.1439384700,35.3361402019,34.0968007045,45.7140950661,59.7071464615,59.7071464615,56.3097047971,52.2078426433
0.666184,35.0045034418,18.4817081249,44.6755235357,46.6058312904,32.7517396775,30.3790104903,36.8980628829,50.6736391777,50.6736391777,50.0235382288,47.9694677750
0.749457,25.6113659807,13.8055851579,38.5921191297,41.6694167200,30.3172228512,27.0569885555,30.4200124438,42.9738198184,42.9738198184,44.4082003971,43.9820336724
0.832730,18.6142032697,11.0344252733,33.5393358655,37.2981839435,28.0462369250,24.1224963672,25.7541869526,36.5373832238,36.5373832238,39.4634019207,40.2817355208
0.916003,13.6242316375,9.5283245589,29.3352470608,33.4433251667,25.9420329578,21.5527905559,22.4033003075,31.2517605488,31.2517605488,35.1503010928,36.8790953143
0.999276,10.2429869906,8.7558104165,25.8240358424,30.0519909692,24.0015494072,19.3181166125,19.9427114079,26.9779813516,26.9779813516,31.4108965583,33.7689033803
1.082549,8.0948329527,8.3191117468,22.8746572548,27.0717202240,22.2179458524,17.3860564823,18.0393256838,23.5637254740,23.5637254740,28.1798283463,30.9366212336
1.165822,6.8445842881,7.9558236642,20.3782853526,24.4527769507,20.5822217282,15.7240347667,16.4528387428,20.8546346669,20.8546346669,25.3914098391,28.3625987273
1.249095,6.2060766398,7.5219790056,18.2455143337,22.1493108537,19.0842693185,14.3007227561,15.0257480137,18.7036569969,18.7036569969,22.9836142477,26.0248680712
1.332368,5.9454366140,6.9644965078,16.4036921107,20.1198454269,17.7135641939,13.0867771525,13.6675398940,16.9780244440,16.9780244440,20.9001166267,23.9009769212
1.415641,5.8809010241,6.2909163922,14.7944966339,18.3273786620,16.4596168104,12.0551787780,12.3372082254,15.5636983510,15.5636983510,19.0911133414,21.9691581304
1.498914,5.8799599223,5.5422903098,13.3717585621,16.7392613502,15.3122634913,11.1813347780,11.0269079868,14.3674223854,14.3674223854,17.5133974397,20.2090370675
1.582187,5.8542725606,4.7723738948,12.0995038020,15.3269503847,14.2618478102,10.4430455117,9.7483114689,13.3167578533,13.3167578533,16.1300064607,18.6020168776
1.665460,5.7528866876,4.0338619491,10.9501911131,14.0656956412,13.2993265195,9.8203983806,8.5222561290,12.3586020049,12.3586020049,14.9096493740,17.1314419879
1.748733,5.5544642779,3.3707899326,9.9031306287,12.9341962960,12.4163233633,9.2956262564,7.3716019366,11.4567153754,11.4567153754,13.8260442884,15.7826123974
1.832006,5.2592981306,2.8154628755,8.9430785696,11.9142489015,11.6051470009,8.8529526291,6.3168290733,10.5887371228,10.5887371228,12.8572474505,14.5427013694
1.915279,4.8818404802,2.3881823968,8.0590082364,10.9904012923,10.8587844707,8.4784358488,5.3737450371,9.7430785041,9.7430785041,11.9850196477,13.4006145281
1.998552,4.4442861063,2.0983586267,7.2430575767,10.1496212271,10.1708783283,8.1598188352,4.5526637213,8.9159800957,8.9159800957,11.1942534698,12.3468174736
2.081825,3.9715202214,1.9460705981,6.4896506270,9.3809853209,9.5356932769,7.8863870502,3.8585038818,8.1089166656,8.1089166656,10.4724704295,11.3731508892
2.165098,3.4875150289,1.9235985633,5.7947855640,8.6753915626,8.9480764681,7.6488354995,3.2913801057,7.3264459302,7.3264459302,9.8093881630,10.4726460215
2.248371,3.0130781198,2.0167955037,5.1554773722,8.0252971289,8.4034144648,7.4391444819,2.8473907869,6.5745289171,6.5745289171,9.1965530005,9.6393489032
2.331644,2.5647380097,2.2063606601,4.5693391613,7.4244820640,7.8975889970,7.2504633504,2.5194234307,5.8593011176,5.8593011176,8.6270307967,8.8681583699
2.414917,2.1544961269,2.4691397885,4.0342834552,6.8678385481,7.4269330098,7.0770014423,2.2978875680,5.1862431616,5.1862431616,8.0951481236,8.1546805461
2.498190,1.7901685877,2.7795450932,3.5483234622,6.3511848676,6.9881880370,6.9139254152,2.1713472639,4.5596841328,4.5596841328,7.5962760990,7.4951007994
2.581463,1.4760691237,3.1111097130,3.1094543157,5.8711027477,6.5784635880,6.7572623836,2.1270612213,3.9825661661,3.9825661661,7.1266498155,6.8860730330
2.664736,1.2138311171,3.4381088508,2.7155953217,5.4247964139,6.1951989823,6.6038084338,2.1514540683,3.4564021366,3.4564021366,6.6832172623,6.3246254542
2.748009,1.0032196092,3.7371207202,2.3645760650,5.0099715588,5.8361278776,6.4510422587,2.2305437531,2.9813660575,2.9813660575,6.2635126070,5.8080815294
2.831282,0.8428350530,3.9883788703,2.0541515269,4.6247323041,5.4992455982,6.2970437863,2.3503429785,2.5564659024,2.5564659024,5.8655496291,5.3339946109
2.914555,0.7306547854,4.1767831910,1.7820339041,4.2674942378,5.1827792733,6.1404177744,2.4972422453,2.1797592506,2.1797592506,5.4877319100,4.9000946554
2.997828,0.6643937064,4.2924807450,1.5459313814,3.9369116556,4.8851607209,5.9802223955,2.6583719632,1.8485822884,1.8485822884,5.1287770685,4.5042454763
3.081101,0.6416922168,4.3309857919,1.3435865613,3.6318172350,4.6050019670,5.8159028645,2.8219335110,1.5597716207,1.5597716207,4.7876528818,4.1444110656
3.164374,0.6601577569,4.2928670825,1.1728094803,3.3511724981,4.3410732538,5.6472301559,2.9774851188,1.3098657412,1.3098657412,4.4635235688,3.8186296392
3.247647,0.7172973211,4.1830786890,1.0315020882,3.0940275661,4.0922833743,5.4742448347,3.1161680720,1.0952788196,1.0952788196,4.1557048381,3.5249942035
3.330920,0.8103832010,4.0100417328,0.9176727062,2.8594888707,3.8576621576,5.2972059884,3.2308614239,0.9124437811,0.9124437811,3.8636265534,3.2616385778
3.414193,0.9362939715,3.7845963620,0.8294402930,2.6466936416,3.6363449261,5.1165452021,3.3162581673,0.7579246725,0.7579246725,3.5868020484,3.0267279441
3.497466,1.0913684136,3.5189380141,0.7650293607,2.4547901452,3.4275587506,4.9328254717,3.3688616075,0.6285002566,0.6285002566,3.3248032558,2.8184531198
3.580739,1.2713026718,3.2256336251,0.7227570961,2.2829227914,3.2306103288,4.7467049022,3.3869064908,0.5212218899,0.5212218899,3.0772409107,2.6350278580
3.664012,1.4711115598,2.9167873330,0.7010147000,2.1302213524,3.0448753286,4.5589049945,3.3702144993,0.4334492330,0.4334492330,2.8437491623,2.4746885785
3.747285,1.6851646267,2.6033965830,0.6982451765,1.9957936538,2.8697890395,4.3701832874,3.3199974965,0.3628674171,0.3628674171,2.6239739833,2.3356960134
3.830558,1.9072974587,2.2949126379,0.7129198300,1.8787211913,2.7048381934,4.1813100893,3.2386241433,0.3074890879,0.3074890879,2.4175648148,2.2163383264
3.913831,2.1309896578,1.9989972571,0.7435155859,1.7780572115,2.5495538212,3.9930490102,3.1293661956,0.2656444042,0.2656444042,2.2241689262,2.1149353203
3.997104,2.3495937971,1.7214512456,0.7884949917,1.6928268593,2.4035050292,3.8061409874,2.9961400921,0.2359616653,0.2359616653,2.0434280102,2.0298434033
4.080377,2.5565948897,1.4662809740,0.8462903961,1.6220290509,2.2662935845,3.6212914928,2.8432576517,0.2173408398,0.2173408398,1.8749765735,1.9594610269
4.163650,2.7458777603,1.2358652148,0.9152933973,1.5646397712,2.1375492141,3.4391606003,2.6751971494,0.2089219121,0.2089219121,1.7184417240,1.9022343479
4.246923,2.9119800759,1.0311855562,0.9938502190,1.5196165302,2.0169255319,3.2603556021,2.4964030964,0.2100496644,0.2100496644,1.5734439960,1.8566629015
4.330196,3.0503113589,0.8520878329,1.0802632424,1.4859037381,1.9040965140,3.0854258652,2.3111200165,0.2202362780,0.2202362780,1.4395988995,1.8213051027
4.413469,3.1573225351,0.6975481020,1.1727985281,1.4624387812,1.7987534571,2.9148596353,2.1232626562,0.2391229655,0.2391229655,1.3165189164,1.7947834231
4.496742,3.2306158369,0.5659234889,1.2696988087,1.4481585941,1.7006023588,2.7490825088,1.9363225746,0.2664417207,0.2664417207,1.2038157131,1.7757891149
4.580015,3.2689905365,0.4551748521,1.3692011488,1.4420065445,1.6093616671,2.5884573131,1.7533090401,0.3019781775,0.3019781775,1.1011023762,1.7630863799
4.663288,3.2724254225,0.3630540590,1.4695582545,1.4429394539,1.5247603547,2.4332851541,1.5767206777,0.3455364962,0.3455364962,1.0079955169,1.7555159031
4.746561,3.2420036690,0.2872533992,1.5690622754,1.4499345960,1.4465362764,2.2838074116,1.4085433410,0.3969071237,0.3969071237,0.9241171262,1.7519976944
4.829834,3.1797894340,0.2255181848,1.6660698808,1.4619965251,1.3744347770,2.1402084840,1.2502691961,0.4558381907,0.4558381907,0.8490960971,1.7515331985
4.913107,3.0886679827,0.1757259540,1.7590273951,1.4781636026,1.3082075184,2.0026191052,1.1029319213,0.5220112136,0.5220112136,0.7825693589,1.7532066567
4.996380,2.9721623187,0.1359370476,1.8464948524,1.4975141037,1.2476114994,1.8711200777,0.9671531574,0.5950216485,0.5950216485,0.7241825981,1.7561857168
5.079653,2.8342393216,0.1044218871,1.9271679434,1.5191718026,1.1924082475,1.7457462858,0.8431958135,0.6743647017,0.6743647017,0.6735905615,1.7597213067
5.162926,2.6791174177,0.0796702433,1.9998969953,1.5423109532,1.1423631610,1.6264908711,0.7310204405,0.7594266429,0.7594266429,0.6304569595,1.7631467979
5.246199,2.5110860890,0.0603873564,2.0637023055,1.5661605946,1.0972449859,1.5133094713,0.6303415712,0.8494816888,0.8494816888,0.5944540020,1.7658764992
5.329472,2.3343453334,0.0454811116,2.1177853577,1.5900081340,1.0568254106,1.4061244402,0.5406816239,0.9436943445,0.9436943445,0.5652616148,1.7674035298
5.412745,2.1528707718,0.0340437218,2.1615356475,1.6132021723,1.0208787678,1.3048289781,0.4614206261,1.0411269085,1.0411269085,0.5425663915,1.7672971289
5.496018,1.9703076913,0.0253306135,2.1945330459,1.6351545559,0.9891818291,1.2092911224,0.3918406210,1.1407516774,1.1407516774,0.5260603434,1.7651994656
5.579291,1.7898950979,0.0187385167,2.2165458069,1.6553416553,0.9615136833,1.1193575512,0.3311641264,1.2414672362,1.2414672362,0.5154395143,1.7608220165
5.662564,1.6144189509,0.0137841562,2.2275244860,1.6733048838,0.9376556887,1.0348571719,0.2785864448,1.3421180940,1.3421180940,0.5104025265,1.7539415818
5.745837,1.4461922504,0.0100844452,2.2275921649,1.6886504836,0.9173914902,0.9556044700,0.2333019450,1.4415168326,1.4415168326,0.5106491238,1.7443960100
5.829110,1.2870585628,0.0073386973,2.2170314824,1.7010486203,0.9005070931,0.8814026046,0.1945246821,1.5384678788,1.5384678788,0.5158787726,1.7320797027
5.912383,1.1384149000,0.0053130814,2.1962690370,1.7102318338,0.8867909871,0.8120462428,0.1615038784,1.6317919895,1.6317919895,0.5257893784,1.7169389681
5.995656,1.0012495632,0.0038273408,2.1658577734,1.7159929041,0.8760343125,0.7473241302,0.1335348871,1.7203505581,1.7203505581,0.5400761672,1.6989672878
6.078929,0.8761905681,0.0027436647,2.1264579716,1.7181821965,0.8680310622,0.6870214013,0.1099662979,1.8030688976,1.8030688976,0.5584307734,1.6782005594
6.162202,0.7635605139,0.0019575179,2.0788174502,1.7167045545,0.8625783140,0.6309216354,0.0902038453,1.8789577416,1.8789577416,0.5805405691,1.6547123722
6.245475,0.6634341790,0.0013901978,2.0237515576,1.7115158131,0.8594764863,0.5788086681,0.0737117444,1.9471323068,1.9471323068,0.6060882574,1.6286093656
6.328748,0.5756956447,0.0009828712,1.9621234774,1.7026190035,0.8585296130,0.5304681696,0.0600120292,2.0068283875,2.0068283875,0.6347517480,1.6000267180
6.412021,0.5000923272,0.0006918578,1.8948253102,1.6900603241,0.8595456308,0.4856890038,0.0486824023,2.0574150897,2.0574150897,0.6662043199,1.5691238046
6.495294,0.4362838797,0.0004849381,1.8227603202,1.6739249459,0.8623366751,0.4442643826,0.0393530330,2.0984039528,2.0984039528,0.7001150703,1.5360800582
6.578567,0.3838844816,0.0003384949,1.7468266623,1.6543327224,0.8667193794,0.4059928301,0.0317026707,2.1294543517,2.1294543517,0.7361496407,1.5010910599
6.661840,0.3424975475,0.0002353205,1.6679028246,1.6314338658,0.8725151742,0.3706789738,0.0254543706,2.1503752014,2.1503752014,0.7739712024,1.4643648821
6.745113,0.3117423449,0.0001629494,1.5868349466,1.6054046491,0.8795505801,0.3381341766,0.0203710680,2.1611231147,2.1611231147,0.8132416789,1.4261186981
6.828386,0.2912724021,0.0001124018,1.5044261048,1.5764431883,0.8876574933,0.3081770263,0.0162511791,2.1617972651,2.1617972651,0.8536231773,1.3865756703
6.911658,0.2807859297,0.0000772435,1.4214275878,1.5447653498,0.8966734585,0.2806336970,0.0129243604,2.1526312982,2.1526312982,0.8947795950,1.3459621213
6.994931,0.2800287571,0.0000528881,1.3385321329,1.5106008277,0.9064419264,0.2553381967,0.0102475161,2.1339827026,2.1339827026,0.9363783666,1.3045049884
7.078204,0.2887905180,0.0000360826,1.2563690409,1.4741894230,0.9168124940,0.2321325146,0.0081011120,2.1063200977,2.1063200977,0.9780923124,1.2624295593
7.161477,0.3068950091,0.0000245313,1.1755010533,1.4357775548,0.9276411234,0.2108666810,0.0063858273,2.0702089210,2.0702089210,1.0196015499,1.2199574815
7.244750,0.3341857859,0.0000166211,1.0964228415,1.3956150255,0.9387903391,0.1913987520,0.0050195546,2.0262960090,2.0262960090,1.0605954289,1.1773050355
7.328023,0.3705081719,0.0000112240,1.0195609379,1.3539520574,0.9501294003,0.1735947290,0.0039347456,1.9752935490,1.9752935490,1.1007744508,1.1346816590
7.411296,0.4156889228,0.0000075547,0.9452749265,1.3110366108,0.9615344478,0.1573284242,0.0030760873,1.9179628591,1.9179628591,1.1398521375,1.0922887083
7.494569,0.4695148163,0.0000050688,0.8738597011,1.2671119897,0.9728886242,0.1424812803,0.0023984866,1.8550984120,1.8550984120,1.1775568124,1.0503184405
7.577842,0.5317114292,0.0000033903,0.8055486041,1.2224147369,0.9840821661,0.1289421541,0.0018653394,1.7875124726,1.7875124726,1.2136332653,1.0089531990
7.661115,0.6019233097,0.0000022607,0.7405172593,1.1771728143,0.9950124683,0.1166070693,0.0014470541,1.7160206622,1.7160206622,1.2478442705,0.9683647843
7.744388,0.6796966625,0.0000015030,0.6788879258,1.1316040635,1.0055841200,0.1053789474,0.0011198031,1.6414287087,1.6414287087,1.2799719363,0.9287139926
7.827661,0.7644655276,0.0000009963,0.6207342112,1.0859149345,1.0157089127,0.0951673210,0.0008644731,1.5645205751,1.5645205751,1.3098188650,0.8901503030
7.910934,0.8555422696,0.0000006586,0.5660859973,1.0402994718,1.0253058196,0.0858880357,0.0006657885,1.4860481074,1.4860481074,1.3372091072,0.8528116959
7.994207,0.9521129877,0.0000004341,0.5149344490,0.9949385426,1.0343009490,0.0774629440,0.0005115848,1.4067222813,1.4067222813,1.3619889012,0.8168245848
8.077480,1.0532382366,0.0000002853,0.4672369961,0.9499992907,1.0426274697,0.0698195964,0.0003922079,1.3272060784,1.3272060784,1.3840271895,0.7823038461
8.160753,1.1578592034,0.0000001871,0.4229221915,0.9056347979,1.0502255126,0.0628909321,0.0003000216,1.2481089742,1.2481089742,1.4032159091,0.7493529294
8.244026,1.2648092433,0.0000001223,0.3818943707,0.8619839361,1.0570420466,0.0566149721,0.0002290053,1.1699829838,1.1699829838,1.4194700591,0.7180640359
8.327299,1.3728304381,0.0000000798,0.3440380522,0.8191713898,1.0630307321,0.0509345176,0.0001744274,1.0933201734,1.0933201734,1.4327275484,0.6885183502
8.410572,1.4805946160,0.0000000519,0.3092220320,0.7773078302,1.0681517536,0.0457968554,0.0001325801,1.0185515250,1.0185515250,1.4429488339,0.6607863143
8.493845,1.5867280816,0.0000000337,0.2773031429,0.7364902238,1.0723716316,0.0411534715,0.0001005666,0.9460470164,0.9460470164,1.4501163590,0.6349279336
8.577118,1.6898391458,0.0000000218,0.2481296585,0.6968022544,1.0756630165,0.0369597749,0.0000761306,0.8761167718,0.8761167718,1.4542338079,0.6109931040
8.660391,1.7885474299,0.0000000141,0.2215443328,0.6583148441,1.0780044664,0.0331748314,0.0000575189,0.8090131259,0.8090131259,1.4553251898,0.5890219552
8.743664,1.8815138573,0.0000000091,0.1973870784,0.6210867537,1.0793802100,0.0297611098,0.0000433735,0.7449334468,0.7449334468,1.4534337739,0.5690452000
8.826937,1.9674702269,0.0000000058,0.1754972892,0.5851652491,1.0797798967,0.0266842387,0.0000326451,0.6840235628,0.6840235628,1.4486208906,0.5510844879
