milestone_name,num_achieved,num_not_achieved,total_rollouts,achievement_rate_pct,mode,p10,p50,p90
AI2027-SC,14,1,15,93.33,0.0833,0.0394,0.2563,7.5251
AIR-5x,10,5,15,66.67,0.0833,0.0381,0.3918,1000000.0000
AIR-25x,14,1,15,93.33,0.0833,0.0130,0.2219,4.1304
AIR-250x,15,0,15,100.00,0.0833,0.0266,0.2016,4.6455
AIR-2000x,12,3,15,80.00,0.1665,0.0491,0.4564,1000000.0000
AIR-10000x,10,5,15,66.67,0.1665,0.0665,1.5934,1000000.0000
SAR-level-experiment-selection-skill,13,2,15,86.67,0.0833,0.0378,0.2920,600001.4415
SIAR-level-experiment-selection-skill,15,0,15,100.00,0.0833,0.0384,0.2970,1.6881
STRAT-AI,15,0,15,100.00,0.0833,0.0384,0.2970,1.6881
TED-AI,15,0,15,100.00,0.1665,0.0497,0.2991,2.3054
ASI,15,0,15,100.00,0.1665,0.0647,0.3226,4.2597
