milestone_name,num_achieved,num_not_achieved,total_rollouts,achievement_rate_pct,mode,p10,p50,p90
AI2027-SC,8,1,9,88.89,0.5000,0.3564,0.8003,200004.7732
AIR-5x,7,2,9,77.78,0.1667,0.0542,1.1243,1000000.0000
AIR-25x,9,0,9,100.00,0.4166,0.2382,0.6897,4.9160
AIR-250x,8,1,9,88.89,0.5833,0.3469,0.8415,200009.5434
AIR-2000x,7,2,9,77.78,0.6666,0.4146,0.9650,1000000.0000
AIR-10000x,5,4,9,55.56,0.5833,0.4855,26.2299,1000000.0000
SAR-level-experiment-selection-skill,9,0,9,100.00,0.3333,0.1515,0.8581,5.8445
SIAR-level-experiment-selection-skill,9,0,9,100.00,0.5833,0.3286,0.8920,17.1113
STRAT-AI,9,0,9,100.00,0.5833,0.3286,0.8920,17.1113
TED-AI,8,1,9,88.89,0.5833,0.3598,0.9188,200059.4478
ASI,7,2,9,77.78,0.5833,0.4041,0.9264,1000000.0000
