milestone_name,num_achieved,num_not_achieved,total_rollouts,achievement_rate_pct,mode,p10,p50,p90
AI2027-SC,2,0,2,100.00,0.8322,0.7855,0.8353,0.8851
AIR-5x,2,0,2,100.00,0.0832,0.1865,0.7121,1.2377
AIR-25x,2,0,2,100.00,0.9986,1.1252,2.1201,3.1150
AIR-250x,2,0,2,100.00,7.2400,7.2475,12.3554,17.4634
AIR-2000x,1,1,2,50.00,,,,
AIR-10000x,1,1,2,50.00,,,,
SAR-level-experiment-selection-skill,1,1,2,50.00,,,,
SIAR-level-experiment-selection-skill,2,0,2,100.00,1.6644,1.9294,3.6985,5.4676
STRAT-AI,2,0,2,100.00,1.6644,1.9294,3.6985,5.4676
TED-AI,2,0,2,100.00,14.3967,12.6911,14.6340,16.5770
ASI,2,0,2,100.00,27.3787,24.8955,27.6164,30.3373
