time_decimal_year,AI2027-SC,AIR-5x,AIR-25x,AIR-250x,AIR-2000x,AIR-10000x,SAR-level-experiment-selection-skill,SIAR-level-experiment-selection-skill,STRAT-AI,TED-AI,ASI
0.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.083301,180.8487423453,288.1577558816,170.0554628927,90.3743082194,118.9206970516,105.4018214392,200.1217689658,98.8656250338,98.8656250338,131.1880488979,103.6180628891
0.166601,161.6858729805,138.5630651825,140.1227932780,89.7655161877,97.9088362296,87.4751483034,155.1487354708,101.7728654111,101.7728654111,118.6693445169,102.0574844494
0.249902,128.1062129606,85.3624723265,111.1815618739,82.0498952972,74.8983353261,65.8497992761,117.9566725149,93.9692512786,93.9692512786,95.5712711272,86.3566452753
0.333203,99.0709437437,59.9440510216,88.4968359974,72.5606765662,57.8662829571,49.6358803117,90.4582140398,83.3884941412,83.3884941412,76.6431866829,70.6441820398
0.416503,76.7452187390,44.9577164383,71.3991036065,63.1777126690,46.1105358642,38.7099025071,70.5252357362,72.7583186327,72.7583186327,62.7245628746,57.8483209076
0.499804,59.9912932527,35.0926682278,58.4576538688,54.6190672107,37.8682634663,31.3459366603,56.0876575664,63.0502984228,63.0502984228,52.1995237987,48.0084688303
0.583105,47.4644772075,28.2955178767,48.4881232801,47.1152769794,31.7861095734,26.1255764365,45.5543849250,54.5417880176,54.5417880176,43.7474917592,40.4845912004
0.666405,38.1091310378,23.3295301674,40.6573809078,40.6787179905,27.0376666781,22.1795494527,37.7512268624,47.2288182852,47.2288182852,36.7879247430,34.6215875102
0.749706,31.1134409513,19.3630600973,34.4014530381,35.2265209304,23.1599865388,19.0209761363,31.8349258080,41.0015369936,41.0015369936,31.1230519400,29.9350237353
0.833007,25.8348437545,15.9936848248,29.3359152769,30.6400197046,19.9107537261,16.3779935409,27.2238930389,35.7205174004,35.7205174004,26.6115079680,26.1091184237
0.916308,21.7683616904,13.1371264804,25.1922244073,26.7938420239,17.1771851068,14.0999478196,23.5336328675,31.2487479521,31.2487479521,23.0644433405,22.9369765976
0.999608,18.5365462171,10.8206055217,21.7768300391,23.5696821993,14.9077599353,12.1144564856,20.5158042731,27.4633095983,27.4633095983,20.2649249278,20.2706958138
1.082909,15.8791699131,9.0379897987,18.9451810936,20.8621585157,13.0599058214,10.4008594319,18.0077450550,24.2579755430,24.2579755430,18.0116759541,17.9990555781
1.166210,13.6345977942,7.7141844945,16.5851709358,18.5805798218,11.5728650175,8.9628022526,15.8971718520,21.5421553789,21.5421553789,16.1486572899,16.0424783982
