milestone_name,num_achieved,num_not_achieved,total_rollouts,achievement_rate_pct,mode,p10,p50,p90
AI2027-SC,1007,67,1074,93.76,0.2499,0.0824,0.5577,7.2290
AIR-5x,1071,3,1074,99.72,0.0833,0.0000,0.1890,3.1030
AIR-25x,1040,34,1074,96.83,0.1666,0.0528,0.7378,12.4149
AIR-250x,923,151,1074,85.94,0.3333,0.1061,1.7605,1000000.0000
AIR-2000x,796,278,1074,74.12,0.1666,0.1329,5.0291,1000000.0000
AIR-10000x,704,370,1074,65.55,0.1666,0.1574,12.7363,1000000.0000
SAR-level-experiment-selection-skill,1073,1,1074,99.91,0.0833,0.0109,0.5806,5.4738
SIAR-level-experiment-selection-skill,1070,4,1074,99.63,0.2499,0.1306,1.3714,14.1398
STRAT-AI,1070,4,1074,99.63,0.2499,0.1306,1.3714,14.1398
TED-AI,1053,21,1074,98.04,0.1666,0.1489,2.1516,40.1992
ASI,1044,30,1074,97.21,0.2499,0.1652,3.4216,59.2943
