milestone_name,num_achieved,num_not_achieved,total_rollouts,achievement_rate_pct,mode,p10,p50,p90
AI2027-SC,1568,115,1683,93.17,0.0833,0.0442,0.2679,2.9395
AIR-5x,1679,4,1683,99.76,0.0833,0.0000,0.0654,0.8101
AIR-25x,1644,39,1683,97.68,0.0833,0.0107,0.2797,2.4876
AIR-250x,1509,174,1683,89.66,0.0833,0.0419,0.5097,1000000.0000
AIR-2000x,1322,361,1683,78.55,0.0833,0.0611,0.8947,1000000.0000
AIR-10000x,1159,524,1683,68.87,0.0833,0.0723,2.0012,1000000.0000
SAR-level-experiment-selection-skill,1678,5,1683,99.70,0.0833,0.0064,0.2165,1.5642
SIAR-level-experiment-selection-skill,1676,7,1683,99.58,0.1666,0.0579,0.4509,3.8711
STRAT-AI,1676,7,1683,99.58,0.1666,0.0579,0.4509,3.8711
TED-AI,1668,15,1683,99.11,0.0833,0.0703,0.5283,9.5557
ASI,1660,23,1683,98.63,0.0833,0.0810,0.7092,17.8762
