time_decimal_year,AI2027-SC,AIR-5x,AIR-25x,AIR-250x,AIR-2000x,AIR-10000x,SAR-level-experiment-selection-skill,SIAR-level-experiment-selection-skill,STRAT-AI,TED-AI,ASI
0.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.083301,180.8487423453,288.1577558816,170.0554628927,90.3743082194,114.6783902401,108.9396313058,200.1217689658,98.8656250338,98.8656250338,131.1880488979,108.0687682116
0.166601,161.6858729805,138.5630651825,140.1227932780,89.7655161877,96.9976833447,88.1179433480,155.1487354708,101.7728654111,101.7728654111,118.6693445169,104.3016786033
0.249902,128.1062129606,85.3624723265,111.1815618739,82.0498952972,75.5515013521,65.1623597569,117.9566725149,93.9692512786,93.9692512786,95.5712711272,86.6343881704
0.333203,99.0709437437,59.9440510216,88.4968359974,72.5606765662,58.9172418672,48.6261689675,90.4582140398,83.3884941412,83.3884941412,76.6431866829,70.0455885324
0.416503,76.7452187390,44.9577164383,71.3991036065,63.1777126690,47.0677365742,37.8489724877,70.5252357362,72.7583186327,72.7583186327,62.7245628746,56.9896499865
0.499804,59.9912932527,35.0926682278,58.4576538688,54.6190672107,38.6052966151,30.7322153796,56.0876575664,63.0502984228,63.0502984228,52.1995237987,47.1783209959
0.583105,47.4644772075,28.2955178767,48.4881232801,47.1152769794,32.3255987864,25.7077262138,45.5543849250,54.5417880176,54.5417880176,43.7474917592,39.7916170642
0.666405,38.1091310378,23.3295301674,40.6573809078,40.6787179905,27.4382776519,21.8885295268,37.7512268624,47.2288182852,47.2288182852,36.7879247430,34.0705880007
0.749706,31.1134409513,19.3630600973,34.4014530381,35.2265209304,23.4778998780,18.8090164418,31.8349258080,41.0015369936,41.0015369936,31.1230519400,29.4885811686
0.833007,25.8348437545,15.9936848248,29.3359152769,30.6400197046,20.1903767695,16.2151968146,27.2238930389,35.7205174004,35.7205174004,26.6115079680,25.7332303606
