milestone_name,num_achieved,num_not_achieved,total_rollouts,achievement_rate_pct,mode,p10,p50,p90
AI2027-SC,224,14,238,94.12,0.2500,0.1031,0.9988,9.4516
AIR-5x,237,1,238,99.58,0.0833,0.0000,0.3849,4.5937
AIR-25x,224,14,238,94.12,0.4999,0.1233,1.9294,33.2485
AIR-250x,198,40,238,83.19,0.2500,0.2555,4.8287,1000000.0000
AIR-2000x,170,68,238,71.43,0.3333,0.3468,13.2544,1000000.0000
AIR-10000x,139,99,238,58.40,0.3333,0.4035,46.6964,1000000.0000
SAR-level-experiment-selection-skill,238,0,238,100.00,0.2500,0.0411,1.1788,9.6977
SIAR-level-experiment-selection-skill,238,0,238,100.00,0.3333,0.2802,3.4328,25.8547
STRAT-AI,238,0,238,100.00,0.3333,0.2802,3.4328,25.8547
TED-AI,231,7,238,97.06,0.3333,0.3140,5.2796,55.5681
ASI,224,14,238,94.12,0.4166,0.3830,10.0789,81.5531
