milestone_name,num_achieved,num_not_achieved,total_rollouts,achievement_rate_pct,mode,p10,p50,p90
AI2027-SC,689,55,744,92.61,0.2500,0.0751,0.5450,10.4070
AIR-5x,742,2,744,99.73,0.0833,0.0000,0.1330,2.7605
AIR-25x,723,21,744,97.18,0.1666,0.0393,0.7995,16.0850
AIR-250x,643,101,744,86.42,0.4166,0.1254,2.7409,1000000.0000
AIR-2000x,550,194,744,73.92,0.6666,0.1730,9.2155,1000000.0000
AIR-10000x,489,255,744,65.73,0.2500,0.2225,27.7827,1000000.0000
SAR-level-experiment-selection-skill,744,0,744,100.00,0.0833,0.0000,0.5341,6.8922
SIAR-level-experiment-selection-skill,740,4,744,99.46,0.4999,0.1508,1.9407,23.2626
STRAT-AI,740,4,744,99.46,0.4999,0.1508,1.9407,23.2626
TED-AI,721,23,744,96.91,0.2500,0.1604,3.4360,57.1713
ASI,704,40,744,94.62,0.3333,0.2173,6.1949,88.4688
