milestone_name,num_achieved,num_not_achieved,total_rollouts,achievement_rate_pct,mode,p10,p50,p90
AI2027-SC,292,21,313,93.29,0.3332,0.1181,0.8063,11.6995
AIR-5x,313,0,313,100.00,0.0833,0.0000,0.2120,3.8913
AIR-25x,303,10,313,96.81,0.4165,0.0755,1.2806,20.2811
AIR-250x,270,43,313,86.26,0.8331,0.2659,4.2106,1000000.0000
AIR-2000x,230,83,313,73.48,0.4165,0.4337,16.0872,1000000.0000
AIR-10000x,194,119,313,61.98,0.4165,0.4999,34.9099,1000000.0000
SAR-level-experiment-selection-skill,312,1,313,99.68,0.2499,0.0000,1.0226,10.4742
SIAR-level-experiment-selection-skill,307,6,313,98.08,0.2499,0.2839,3.3868,32.9282
STRAT-AI,307,6,313,98.08,0.2499,0.2839,3.3868,32.9282
TED-AI,294,19,313,93.93,0.4165,0.3675,5.4732,102.0767
ASI,280,33,313,89.46,0.4998,0.5402,10.2092,1000000.0000
