time_decimal_year,AC,AI2027-SC,SAR-level-experiment-selection-skill,SIAR-level-experiment-selection-skill
2025.600000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2025.683325,0.3820576883,0.2536293649,0.2885213173,0.2172887161
2025.766651,0.5463000943,0.3404393441,0.4215042496,0.3228479118
2025.849976,0.9220384689,0.5057235050,0.6520806153,0.4926490818
2025.933302,1.4951665383,0.7655739850,0.9736427819,0.7230260277
2026.016627,2.2255905308,1.1044554993,1.3691460834,1.0040291964
2026.099952,3.0731923741,1.5041482745,1.8260727915,1.3255710388
2026.183278,4.0054664331,1.9534227452,2.3359945801,1.6786880942
2026.266603,4.9946865467,2.4468833715,2.8905668736,2.0555487748
2026.349928,6.0132698485,2.9802389542,3.4790028832,2.4492081743
2026.433254,7.0325627250,3.5466227518,4.0879845270,2.8534072192
2026.516579,8.0249725115,4.1355257953,4.7031462719,3.2624676497
2026.599905,8.9669189383,4.7338764083,5.3109542472,3.6712572750
2026.683230,9.8405820200,5.3280632140,5.9001626572,4.0751884722
2026.766555,10.6339594074,5.9058435751,6.4625163955,4.4702226204
2026.849881,11.3398445833,6.4575689714,6.9927343476,4.8528658633
2026.933206,11.9545955711,6.9766197402,7.4879955514,5.2201513060
2027.016531,12.4772550950,7.4592169618,7.9471939146,5.5696086671
2027.099857,12.9091323870,7.9038681877,8.3701851351,5.8992253572
2027.183182,13.2536491227,8.3106749431,8.7571730293,6.2074039116
2027.266508,13.5161719871,8.6806571139,9.1083050428,6.4929203974
2027.349833,13.7036470306,9.0151802867,9.4234849769,6.7548873243
2027.433158,13.8240092965,9.3155251455,9.7023699933,6.9927230793
2027.516484,13.8854725323,9.5826116893,9.9444974494,7.2061282819
2027.599809,13.8958606844,9.8168763574,10.1494811211,7.3950680127
2027.683134,13.8621237482,10.0182890866,10.3172213295,7.5597578121
2027.766460,13.7901131238,10.1864863009,10.4480851991,7.7006508080
2027.849785,13.6846123048,10.3209853198,10.5430281494,7.8184233450
2027.933111,13.5495566466,10.4214381817,10.6036429072,7.9139569668
2028.016436,13.3883456493,10.4878808157,10.6321357369,7.9883154193
2028.099761,13.2041528284,10.5209378570,10.6312398934,8.0427163114
2028.183087,13.0001625571,10.5219534563,10.6040829195,8.0784980187
2028.266412,12.7796975573,10.4930321141,10.5540273857,8.0970832105
2028.349737,12.5462337300,10.4369882355,10.4845045235,8.0999409091
2028.433063,12.3033235111,10.3572162036,10.3988577119,8.0885492347
2028.516388,12.0544621354,10.2575024597,10.3002088448,8.0643609336
2028.599714,11.8029338488,10.1418063705,10.1913560478,8.0287734941
2028.683039,11.5516700246,10.0140374719,10.0747067092,7.9831051853
2028.766364,11.3031417206,9.8778536547,9.9522458194,7.9285777918
2028.849690,11.0592985360,9.7364990723,9.8255364709,7.8663062366
2028.933015,10.8215558936,9.5926933021,9.6957471584,7.7972947522
2029.016340,10.5908253546,9.4485757867,9.5636992504,7.7224388255
2029.099666,10.3675777575,9.3057028592,9.4299275558,7.6425318290
2029.182991,10.1519267529,9.1650893993,9.2947471626,7.5582750767
2029.266317,9.9437202788,9.0272837655,9.1583204873,7.4702899972
2029.349642,9.7426291105,8.8924631463,9.0207195863,7.3791311801
2029.432967,9.5482242277,8.7605366887,8.8819800752,7.2852992112
2029.516293,9.3600378113,8.6312453293,8.7421443380,7.1892524180
2029.599618,9.1776057353,8.5042497219,8.6012929732,7.0914168969
2029.682944,9.0004920971,8.3792005642,8.4595645197,6.9921944399
2029.766269,8.8282983692,8.2557885604,8.3171643946,6.8919682103
2029.849594,8.6606610449,8.1337738809,8.1743646016,6.7911062226
2029.932920,8.4972421727,8.0129970849,8.0314961594,6.6899628368
2030.016245,8.3377170214,7.8933749260,7.8889363500,6.5888785953
2030.099570,8.1817624425,7.7748852660,7.7470928429,6.4881787960
2030.182896,8.0290485087,7.6575455224,7.6063865589,6.3881712199
2030.266221,7.8792348911,7.5413887926,7.4672348382,6.2891434227
2030.349547,7.7319723852,7.4264411616,7.3300361195,6.1913599558
2030.432872,7.5869091257,7.3127028591,7.1951569733,6.0950598265
2030.516197,7.4437004288,7.2001350062,7.0629219742,6.0004544311
2030.599523,7.3020208760,7.0886527969,6.9336065948,5.9077261218
2030.682848,7.1615771931,6.9781251677,6.8074330492,5.8170274905
